INPUT,TARGET
Aussitôt qu’on est mort d’amour.,"D’amour on y revit, d’amour on y soupire,"
"D’amour on y revit, d’amour on y soupire,","Sous les plus douces lois de son heureux Empire,"
"Sous les plus douces lois de son heureux Empire,","Et l’éternelle nuit n’ose en chasser le jour,"
"Et l’éternelle nuit n’ose en chasser le jour,",Que lui-même il attire
Que lui-même il attire,"Sur nos fantômes qu’il inspire,"
"Sur nos fantômes qu’il inspire,",Et dont aux Enfers même il se fait une Cour.
Et dont aux Enfers même il se fait une Cour.,Vos envieuses Sœurs après nous descendues1775
Vos envieuses Sœurs après nous descendues1775,"Pour vous perdre se sont perdues,"
"Pour vous perdre se sont perdues,","Et l’une et l’autre tour à tour,"
"Et l’une et l’autre tour à tour,","Pour le prix d’un conseil qui leur coûte la vie,"
"Pour le prix d’un conseil qui leur coûte la vie,","À côté d’Ixion, à côté de Titye,"
"À côté d’Ixion, à côté de Titye,","Souffre tantôt la roue, et tantôt le Vautour."
"Souffre tantôt la roue, et tantôt le Vautour.","L’Amour, par les Zéphyrs s’est fait prompte justice"
"L’Amour, par les Zéphyrs s’est fait prompte justice",De leur envenimée et jalouse malice :
De leur envenimée et jalouse malice :,"Ces Ministres ailés de son juste courroux,"
"Ces Ministres ailés de son juste courroux,","Sous couleur de les rendre encore auprès de vous,"
"Sous couleur de les rendre encore auprès de vous,","Ont plongé l’une et l’autre au fond d’un précipice,"
"Ont plongé l’une et l’autre au fond d’un précipice,",Où le spectacle affreux de leurs corps déchirés
Où le spectacle affreux de leurs corps déchirés,N’étale que le moindre et le premier supplice
N’étale que le moindre et le premier supplice,De ces conseils dont l’artifice
De ces conseils dont l’artifice,Fait les maux dont vous soupirez.
Fait les maux dont vous soupirez.,Que je les plains !
Que je les plains !,Vous êtes seule à plaindre.
Vous êtes seule à plaindre.,"Mais nous demeurons trop à vous entretenir,"
"Mais nous demeurons trop à vous entretenir,","Adieu, puissions-nous vivre en votre souvenir,"
"Adieu, puissions-nous vivre en votre souvenir,","Puissiez-vous, et bientôt, n’avoir plus rien à craindre,"
"Puissiez-vous, et bientôt, n’avoir plus rien à craindre,","Puisse, et bientôt, l’Amour vous enlever aux Cieux,"
"Puisse, et bientôt, l’Amour vous enlever aux Cieux,","Vous y mettre à côté des Dieux,"
"Vous y mettre à côté des Dieux,","Et rallumant un feu qui ne se puisse éteindre,"
"Et rallumant un feu qui ne se puisse éteindre,",Affranchir à jamais l’éclat de vos beaux yeux
Affranchir à jamais l’éclat de vos beaux yeux,D’augmenter le jour en ces lieux.
D’augmenter le jour en ces lieux.,"Pauvres Amants ! leur amour dure encore,"
"Pauvres Amants ! leur amour dure encore,","Tous morts qu’ils sont l’un et l’autre m’adore,"
"Tous morts qu’ils sont l’un et l’autre m’adore,",Moi dont la dureté reçut si mal leurs vœux :
Moi dont la dureté reçut si mal leurs vœux :,"Tu n’en fais pas ainsi, toi qui seul m’as ravie,"
"Tu n’en fais pas ainsi, toi qui seul m’as ravie,","Amant, que j’aime encor cent fois plus que ma vie,"
"Amant, que j’aime encor cent fois plus que ma vie,",Et qui brises de si beaux nœuds.
Et qui brises de si beaux nœuds.,"Ne me fuis plus, et souffre que j’espère"
"Ne me fuis plus, et souffre que j’espère","Que tu pourras un jour rabaisser l’œil sur moi,"
"Que tu pourras un jour rabaisser l’œil sur moi,","Qu’à force de souffrir j’aurai de quoi te plaire,"
"Qu’à force de souffrir j’aurai de quoi te plaire,",De quoi me rengager ta foi.
De quoi me rengager ta foi.,"Mais ce que j’ai souffert m’a trop défigurée,"
"Mais ce que j’ai souffert m’a trop défigurée,",Pour rappeler un tel espoir ;
Pour rappeler un tel espoir ;,"L’œil abattu, triste, désespérée,"
"L’œil abattu, triste, désespérée,","Languissante et décolorée,"
"Languissante et décolorée,","De quoi puis-je me prévaloir,"
"De quoi puis-je me prévaloir,","Si par quelque miracle impossible à prévoir,"
"Si par quelque miracle impossible à prévoir,",Ma beauté qui t’a plu ne se voit réparée ?
Ma beauté qui t’a plu ne se voit réparée ?,"Je porte ici de quoi la réparer,"
"Je porte ici de quoi la réparer,",Ce trésor de beauté divine
Ce trésor de beauté divine,"Qu’en mes mains pour Vénus a remis Proserpine,"
"Qu’en mes mains pour Vénus a remis Proserpine,","Enferme des appas dont je puis m’emparer,"
"Enferme des appas dont je puis m’emparer,","Et l’éclat en doit être extrême,"
"Et l’éclat en doit être extrême,",Puisque Vénus la beauté même
Puisque Vénus la beauté même,Les demande pour se parer.
Les demande pour se parer.,En dérober un peu serait-ce un si grand crime ?
En dérober un peu serait-ce un si grand crime ?,"Pour plaire aux yeux d’un Dieu qui s’est fait mon Amant,"
"Pour plaire aux yeux d’un Dieu qui s’est fait mon Amant,","Pour regagner son cœur, et finir mon tourment,"
"Pour regagner son cœur, et finir mon tourment,",Tout n’est-il pas trop légitime ?
Tout n’est-il pas trop légitime ?,"Ouvrons. Quelles vapeurs m’offusquent le cerveau,"
"Ouvrons. Quelles vapeurs m’offusquent le cerveau,",Et que vois-je sortir de cette Boîte ouverte ?
Et que vois-je sortir de cette Boîte ouverte ?,"Amour, si ta pitié ne s’oppose à ma perte,"
"Amour, si ta pitié ne s’oppose à ma perte,","Pour ne revivre plus, je descends au tombeau."
"Pour ne revivre plus, je descends au tombeau.","Votre péril, Psyché, dissipe ma colère,"
"Votre péril, Psyché, dissipe ma colère,","Ou plutôt de mes feux l’ardeur n’a point cessé,"
"Ou plutôt de mes feux l’ardeur n’a point cessé,","Et bien qu’au dernier point vous m’ayez su déplaire,"
"Et bien qu’au dernier point vous m’ayez su déplaire,",Je ne me suis intéressé
Je ne me suis intéressé,Que contre celle de ma Mère.
Que contre celle de ma Mère.,"J’ai vu tous vos travaux, j’ai suivi vos malheurs,"
"J’ai vu tous vos travaux, j’ai suivi vos malheurs,",Mes soupirs ont partout accompagné vos pleurs ;
Mes soupirs ont partout accompagné vos pleurs ;,"Tournez les yeux vers moi, je suis encor le même."
"Tournez les yeux vers moi, je suis encor le même.","Quoi ? je dis et redis tout haut que je vous aime,"
"Quoi ? je dis et redis tout haut que je vous aime,","Et vous ne dites point, Psyché, que vous m’aimez !"
"Et vous ne dites point, Psyché, que vous m’aimez !",Est-ce que pour jamais vos beaux yeux sont fermés ?
Est-ce que pour jamais vos beaux yeux sont fermés ?,Qu’à jamais la clarté leur vient d’être ravie ?
Qu’à jamais la clarté leur vient d’être ravie ?,"Ô mort, devais-tu prendre un dard si criminel,"
"Ô mort, devais-tu prendre un dard si criminel,",Et sans aucun respect pour mon Être éternel
Et sans aucun respect pour mon Être éternel,Attenter à ma propre vie ?
Attenter à ma propre vie ?,"Combien de fois, ingrate Déité,"
"Combien de fois, ingrate Déité,","Ai-je grossi ton noir Empire,"
"Ai-je grossi ton noir Empire,",Par les mépris et par la cruauté
Par les mépris et par la cruauté,D’une orgueilleuse ou farouche beauté ?
D’une orgueilleuse ou farouche beauté ?,"Combien même, s’il le faut dire,"
"Combien même, s’il le faut dire,",T’ai-je immolé de fidèles Amants
T’ai-je immolé de fidèles Amants,À force de ravissements ?
À force de ravissements ?,"Va, je ne blesserai plus d’âmes,"
"Va, je ne blesserai plus d’âmes,","Je ne percerai plus de cœurs,"
"Je ne percerai plus de cœurs,",Qu’avec des dards trempés aux divines liqueurs
Qu’avec des dards trempés aux divines liqueurs,"Qui nourrissent du Ciel les immortelles flammes,"
"Qui nourrissent du Ciel les immortelles flammes,",Et n’en lancerai plus que pour faire à tes yeux
Et n’en lancerai plus que pour faire à tes yeux,"Autant d’Amants, autant de Dieux."
"Autant d’Amants, autant de Dieux.","Et vous, impitoyable Mère,"
"Et vous, impitoyable Mère,",Qui la forcez à m’arracher
Qui la forcez à m’arracher,"Tout ce que j’avais de plus cher,"
"Tout ce que j’avais de plus cher,",Craignez à votre tour l’effet de ma colère.
Craignez à votre tour l’effet de ma colère.,"Vous me voulez faire la loi,"
"Vous me voulez faire la loi,",Vous qu’on voit si souvent la recevoir de moi !
Vous qu’on voit si souvent la recevoir de moi !,"Vous qui portez un cœur sensible comme un autre,"
"Vous qui portez un cœur sensible comme un autre,",Vous enviez au mien les délices du vôtre !
Vous enviez au mien les délices du vôtre !,"Mais dans ce même cœur j’enfoncerai des coups,"
"Mais dans ce même cœur j’enfoncerai des coups,",Qui ne seront suivis que de chagrins jaloux ;
Qui ne seront suivis que de chagrins jaloux ;,"Je vous accablerai de honteuses surprises,"
"Je vous accablerai de honteuses surprises,",Et choisirai partout à vos vœux les plus doux
Et choisirai partout à vos vœux les plus doux,"Des Adonis et des Anchises,"
"Des Adonis et des Anchises,",Qui n’auront que haine pour vous.
Qui n’auront que haine pour vous.,"La menace est respectueuse,"
"La menace est respectueuse,",Et d’un enfant qui fait le révolté
Et d’un enfant qui fait le révolté,La colère présomptueuse…
La colère présomptueuse…,"Je ne suis plus enfant, et je l’ai trop été,"
"Je ne suis plus enfant, et je l’ai trop été,",Et ma colère est juste autant qu’impétueuse.
Et ma colère est juste autant qu’impétueuse.,"L’impétuosité s’en devrait retenir,"
"L’impétuosité s’en devrait retenir,",Et vous pourriez vous souvenir
Et vous pourriez vous souvenir,Que vous me devez la naissance.
Que vous me devez la naissance.,Et vous pourriez n’oublier pas
Et vous pourriez n’oublier pas,Que vous avez un cœur et des appas
Que vous avez un cœur et des appas,Qui relèvent de ma puissance :
Qui relèvent de ma puissance :,"Que mon arc de la vôtre est l’unique soutien,"
"Que mon arc de la vôtre est l’unique soutien,","Que sans mes traits elle n’est rien,"
"Que sans mes traits elle n’est rien,",Et que si les cœurs les plus braves
Et que si les cœurs les plus braves,"En triomphe par vous se sont laissé traîner,"
"En triomphe par vous se sont laissé traîner,",Vous n’avez jamais fait d’Esclaves
Vous n’avez jamais fait d’Esclaves,Que ceux qu’il m’a plu d’enchaîner.
Que ceux qu’il m’a plu d’enchaîner.,Ne me vantez donc plus ces droits de la naissance
Ne me vantez donc plus ces droits de la naissance,Qui tyrannisent mes désirs ;
Qui tyrannisent mes désirs ;,"Et si vous ne voulez perdre mille soupirs,"
"Et si vous ne voulez perdre mille soupirs,","Songez en me voyant à la reconnaissance,"
"Songez en me voyant à la reconnaissance,",Vous qui tenez de ma puissance
Vous qui tenez de ma puissance,Et votre gloire et vos plaisirs.
Et votre gloire et vos plaisirs.,"Comment l’avez-vous défendue,"
"Comment l’avez-vous défendue,",Cette gloire dont vous parlez ?
Cette gloire dont vous parlez ?,Comment me l’avez-vous rendue ?
Comment me l’avez-vous rendue ?,"Et quand vous avez vu mes Autels désolés,"
"Et quand vous avez vu mes Autels désolés,","Mes Temples violés,"
"Mes Temples violés,","Mes honneurs ravalés,"
"Mes honneurs ravalés,","Si vous avez pris part à tant d’ignominie,"
"Si vous avez pris part à tant d’ignominie,",Comment en a-t-on vu punie
Comment en a-t-on vu punie,Psyché qui me les a volés ?
Psyché qui me les a volés ?,Je vous ai commandé de la rendre charmée
Je vous ai commandé de la rendre charmée,"Du plus vil de tous les Mortels,"
"Du plus vil de tous les Mortels,",Qui ne daignât répondre à son âme enflammée
Qui ne daignât répondre à son âme enflammée,"Que par des rebuts éternels,"
"Que par des rebuts éternels,","Par les mépris les plus cruels,"
"Par les mépris les plus cruels,",Et vous-même l’avez aimée !
Et vous-même l’avez aimée !,"Vous avez contre moi séduit des Immortels,"
"Vous avez contre moi séduit des Immortels,","C’est pour vous qu’à mes yeux les Zéphyrs l’ont cachée,"
"C’est pour vous qu’à mes yeux les Zéphyrs l’ont cachée,",Qu’Apollon même suborné
Qu’Apollon même suborné,Par un oracle adroitement tourné
Par un oracle adroitement tourné,"Me l’avait si bien arrachée,"
"Me l’avait si bien arrachée,",Que si sa curiosité
Que si sa curiosité,Par une aveugle défiance
Par une aveugle défiance,"Ne l’eût rendue à ma vengeance,"
"Ne l’eût rendue à ma vengeance,",Elle échappait à mon cœur irrité.
Elle échappait à mon cœur irrité.,"Voyez l’état où votre amour l’a mise,"
"Voyez l’état où votre amour l’a mise,","Votre Psyché : son âme va partir,"
"Votre Psyché : son âme va partir,","Voyez, et si la vôtre en est encore éprise,"
"Voyez, et si la vôtre en est encore éprise,",Recevez son dernier soupir.
Recevez son dernier soupir.,"Menacez, bravez-moi, cependant qu’elle expire :"
"Menacez, bravez-moi, cependant qu’elle expire :","Tant d’insolence vous sied bien,"
"Tant d’insolence vous sied bien,","Et je dois endurer, quoi qu’il vous plaise dire,"
"Et je dois endurer, quoi qu’il vous plaise dire,",Moi qui sans vos traits ne puis rien.
Moi qui sans vos traits ne puis rien.,"Vous ne pouvez que trop, Déesse impitoyable,"
"Vous ne pouvez que trop, Déesse impitoyable,",Le Destin l’abandonne à tout votre courroux :
Le Destin l’abandonne à tout votre courroux :,Mais soyez moins inexorable
Mais soyez moins inexorable,"Aux prières, aux pleurs d’un Fils à vos genoux."
"Aux prières, aux pleurs d’un Fils à vos genoux.","Ce doit vous être un spectacle assez doux,"
"Ce doit vous être un spectacle assez doux,","De voir d’un œil Psyché mourante,"
"De voir d’un œil Psyché mourante,",Et de l’autre ce Fils d’une voix suppliante
Et de l’autre ce Fils d’une voix suppliante,Ne vouloir plus tenir son bonheur que de vous.
Ne vouloir plus tenir son bonheur que de vous.,"Rendez-moi ma Psyché, rendez-lui tous ses charmes,"
"Rendez-moi ma Psyché, rendez-lui tous ses charmes,","Rendez-la, Déesse, à mes larmes,"
"Rendez-la, Déesse, à mes larmes,","Rendez à mon amour, rendez à ma douleur"
"Rendez à mon amour, rendez à ma douleur","Le charme de mes yeux, et le choix de mon cœur."
"Le charme de mes yeux, et le choix de mon cœur.","Quelque amour que Psyché vous donne,"
"Quelque amour que Psyché vous donne,",De ses malheurs par moi n’attendez pas la fin :
De ses malheurs par moi n’attendez pas la fin :,"Si le Destin me l’abandonne,"
"Si le Destin me l’abandonne,",Je l’abandonne à son Destin.
Je l’abandonne à son Destin.,"Ne m’importunez plus, et dans cette infortune"
"Ne m’importunez plus, et dans cette infortune","Laissez-la sans Vénus triompher, ou périr. 1945"
"Laissez-la sans Vénus triompher, ou périr. 1945","Hélas ! si je vous importune,"
